"TEAM","TOT DVOA","Rank","NON-ADJ VOA","W-L","LAST WEEK","Off DVOA","Rank","Def DVOA","Rank","ST DVOA","Rank","Off VOA","Def VOA","ST VOA","EST. WINS","Rank","WEI. DVOA","Rank","SCHED","Rank","FUTURE","Rank","VAR","Rank","Week","Year"
"MIN","38.1","1","22.5","5-0","1","-1.1","19","-37.1","1","2.1","11","-4.3","-24.4","2.4","5.0","1","38.1","1","5.8","8","0.4","15","5.3","7","5","2024"
"BAL","34.3","2","28.7","3-2","2","31.4","1","-4.7","14","-1.7","23","31.3","1.2","-1.3","3.8","2","34.3","2","3.7","10","-3.3","22","10.7","18","5","2024"
"KC","22.4","3","8.1","5-0","9","14.1","5","-7.7","10","0.5","14","12.2","5.3","1.2","3.7","3","22.4","3","14.7","1","-5.7","28","5.9","9","5","2024"
"NO","22.3","4","25.3","2-3","3","9.1","11","-8.7","8","4.5","4","13.5","-6.6","5.3","2.7","12","22.3","4","-2.9","21","-7.0","31","32.5","32","5","2024"
"DET","20.5","5","17.3","3-1","5","13.2","7","-3.0","15","4.3","5","16.0","3.6","4.9","3.5","4","20.5","5","-0.6","16","7.7","3","7.2","11","5","2024"
"BUF","17.6","6","20.1","3-2","6","13.1","8","-10.7","6","-6.3","29","13.2","-12.4","-5.6","3.5","5","17.6","6","-3.0","22","-5.6","27","24.4","28","5","2024"
"HOU","16.0","7","8.3","4-1","11","-1.8","21","-15.2","3","2.6","6","-4.7","-9.0","3.9","3.3","6","16.0","7","5.9","7","-3.4","23","12.0","21","5","2024"
"SEA","15.5","8","12.8","3-2","4","13.6","6","-5.4","13","-3.4","27","14.2","-1.6","-3.0","2.8","11","15.5","8","-9.6","31","4.0","7","17.7","25","5","2024"
"SF","14.3","9","12.0","2-3","7","10.9","10","-11.2","5","-7.9","31","11.5","-7.4","-6.9","2.7","14","14.3","9","-3.5","23","3.6","8","9.0","14","5","2024"
"GB","12.1","11","7.8","3-2","10","15.3","4","-0.9","17","-4.0","28","14.9","4.1","-3.0","3.2","7","12.1","11","-1.9","19","6.2","4","4.7","6","5","2024"
"WAS","12.1","10","17.1","4-1","16","19.0","3","9.1","24","2.3","10","24.4","10.4","3.0","2.7","13","12.1","10","-7.8","26","-1.2","19","31.6","31","5","2024"
"CIN","8.8","12","3.4","1-4","12","19.3","2","8.2","22","-2.3","25","22.9","17.8","-1.7","2.9","9","8.8","12","1.5","15","-8.0","32","2.8","3","5","2024"
"ATL","7.8","13","6.8","3-2","15","11.2","9","3.5","20","0.2","15","12.7","7.3","1.4","3.1","8","7.8","13","9.1","4","-0.8","16","0.9","1","5","2024"
"PIT","5.9","14","3.6","3-2","8","-4.1","22","-7.5","11","2.5","9","-3.8","-3.1","4.3","2.7","15","5.9","14","2.3","12","-1.1","18","8.9","13","5","2024"
"TB","5.1","15","4.6","3-2","14","5.2","13","1.6","18","1.5","12","7.6","5.8","2.7","2.4","17","5.1","15","6.8","6","1.4","12","13.6","22","5","2024"
"DEN","4.0","16","6.9","3-2","18","-14.9","25","-12.8","4","6.1","2","-16.7","-15.3","8.3","2.3","19","4.0","16","-2.0","20","1.0","13","18.0","26","5","2024"
"DAL","0.3","18","3.5","3-2","19","-1.3","20","8.9","23","10.5","1","0.6","8.5","11.4","2.8","10","0.3","18","3.0","11","2.8","10","26.3","29","5","2024"
"LAC","0.3","17","9.2","2-2","17","-13.7","24","-15.9","2","-1.8","24","-10.2","-19.8","-0.4","2.3","20","0.3","17","-9.3","29","-0.9","17","13.7","23","5","2024"
"IND","-0.9","19","-0.8","2-3","13","5.8","12","5.1","21","-1.6","22","9.4","9.3","-0.9","2.4","16","-0.9","19","1.8","14","-3.4","24","5.8","8","5","2024"
"CHI","-3.9","20","7.4","3-2","23","-16.1","26","-9.6","7","2.6","7","-11.8","-15.9","3.3","2.3","18","-3.9","20","-11.2","32","10.8","1","10.4","17","5","2024"
"ARI","-5.5","21","-7.5","2-3","22","5.2","13","10.8","26","0.1","16","5.9","14.5","1.1","2.3","21","-5.5","21","9.4","3","-2.6","21","26.9","30","5","2024"
"NYJ","-5.8","22","-5.1","2-3","20","-9.7","23","-5.4","12","-1.5","21","-14.1","-10.0","-0.9","1.9","24","-5.8","22","2.2","13","-6.4","30","9.8","16","5","2024"
"NYG","-7.5","23","-15.3","2-3","25","1.9","17","3.0","19","-6.4","30","-1.8","7.3","-6.1","2.0","23","-7.5","23","5.3","9","3.4","9","11.6","19","5","2024"
"PHI","-10.3","24","-20.7","2-2","21","4.1","15","11.2","27","-3.2","26","0.3","18.2","-2.7","2.0","22","-10.3","24","11.8","2","-4.2","25","7.9","12","5","2024"
"LAR","-17.6","25","-22.8","1-4","26","1.1","18","18.8","31","0.1","17","-1.3","22.3","0.8","1.5","27","-17.6","25","7.5","5","0.5","14","9.7","15","5","2024"
"TEN","-18.6","26","-17.8","1-3","24","-17.4","27","-8.6","9","-9.8","32","-21.2","-11.6","-8.2","1.3","28","-18.6","26","-9.0","27","4.5","6","4.3","4","5","2024"
"JAX","-21.3","27","-21.4","1-4","30","3.0","16","23.6","32","-0.8","19","1.2","23.0","0.4","1.7","25","-21.3","27","-9.2","28","-2.4","20","15.5","24","5","2024"
