"TEAM","TOT DVOA","Rank","NON-ADJ VOA","W-L","LAST WEEK","Off DVOA","Rank","Def DVOA","Rank","ST DVOA","Rank","Off VOA","Def VOA","ST VOA","EST. WINS","Rank","WEI. DVOA","Rank","SCHED","Rank","FUTURE","Rank","VAR","Rank","Week","Year"
"MIN","41.5","1","26.2","4-0","4","5.0","13","-34.5","1","2.0","11","3.0","-20.7","2.5","4.0","1","41.5","1","5.8","8","-2.4","23","4.7","7","4","2024"
"BAL","38.3","2","33.6","2-2","5","29.3","1","-10.5","9","-1.5","21","29.8","-4.7","-0.9","3.0","3","38.3","2","2.9","15","-3.1","25","14.4","19","4","2024"
"NO","37.4","3","43.5","2-2","2","14.1","9","-17.5","2","5.8","3","18.3","-18.3","6.8","2.6","6","37.4","3","-7.4","26","-6.2","28","35.2","30","4","2024"
"SEA","25.2","4","22.2","3-1","3","19.0","5","-10.5","8","-4.3","27","19.9","-6.1","-3.8","2.5","8","25.2","4","-10.5","28","0.7","15","19.3","25","4","2024"
"DET","22.0","5","17.3","3-1","8","14.7","8","-2.7","14","4.6","5","16.5","4.3","5.1","2.9","4","22.0","5","-0.4","17","6.3","4","7.2","13","4","2024"
"BUF","20.8","6","26.2","3-1","1","17.4","6","-10.2","10","-6.9","29","19.4","-13.1","-6.3","3.0","2","20.8","6","-11.0","29","-3.6","27","32.4","28","4","2024"
"SF","19.4","7","18.8","2-2","15","15.1","7","-14.1","4","-9.8","32","15.9","-11.6","-8.7","2.3","12","19.4","7","-3.3","20","2.2","10","11.7","17","4","2024"
"PIT","15.3","8","9.5","3-1","6","0.3","17","-11.5","7","3.5","7","-1.8","-5.6","5.7","2.6","5","15.3","8","3.3","14","-2.3","22","7.0","12","4","2024"
"KC","13.1","9","0.4","4-0","13","9.3","10","-2.5","15","1.3","13","6.4","8.2","2.2","2.6","7","13.1","9","13.0","3","0.3","17","4.3","6","4","2024"
"GB","12.8","10","7.7","2-2","7","19.6","3","1.6","19","-5.2","28","17.3","5.3","-4.3","2.2","14","12.8","10","5.0","10","3.2","7","6.3","10","4","2024"
"HOU","11.2","11","7.7","3-1","14","-1.9","20","-12.7","6","0.4","16","-2.8","-8.8","1.7","2.4","10","11.2","11","-0.7","18","-2.1","20","15.2","22","4","2024"
"CIN","7.4","12","11.0","1-3","12","19.0","4","7.9","22","-3.7","26","25.0","11.0","-3.0","2.3","13","7.4","12","-9.1","27","-3.0","24","3.4","4","4","2024"
"IND","6.3","13","4.5","2-2","16","6.5","11","0.3","17","0.0","20","8.2","4.4","0.7","2.4","11","6.3","13","5.7","9","-7.6","31","3.4","3","4","2024"
"TB","6.0","14","7.9","3-1","20","-0.2","19","-6.0","13","0.2","18","3.3","-3.2","1.4","2.1","16","6.0","14","3.9","12","5.0","6","17.7","24","4","2024"
"ATL","4.0","15","2.7","2-2","17","2.2","15","1.5","18","3.4","9","3.1","4.7","4.3","2.2","15","4.0","15","14.1","2","2.3","9","1.8","1","4","2024"
"WAS","2.6","16","5.3","3-1","26","22.8","2","22.3","30","2.0","10","29.0","26.7","3.0","2.0","17","2.6","16","-4.5","21","-3.2","26","36.6","32","4","2024"
"LAC","2.4","17","9.4","2-2","9","-12.1","24","-16.3","3","-1.8","22","-9.4","-19.3","-0.5","1.9","18","2.4","17","-4.7","22","-0.9","18","16.7","23","4","2024"
"DAL","0.5","19","4.3","2-2","22","0.1","18","12.7","27","13.1","1","2.3","12.2","14.1","2.5","9","0.5","19","4.0","11","2.1","11","33.2","29","4","2024"
"DEN","0.5","18","-2.5","2-2","19","-17.3","28","-13.0","5","4.9","4","-22.0","-13.0","6.5","1.6","20","0.5","18","10.1","5","1.1","13","20.3","26","4","2024"
"NYJ","-6.0","20","0.1","2-2","10","-4.8","22","-1.9","16","-3.1","24","-6.9","-9.5","-2.4","1.6","21","-6.0","20","-6.4","25","-2.1","21","14.8","21","4","2024"
"PHI","-9.5","21","-20.4","2-2","18","5.9","12","12.4","26","-3.0","23","0.9","18.7","-2.5","1.7","19","-9.5","21","15.1","1","-7.1","30","8.8","15","4","2024"
"ARI","-11.4","22","-12.5","1-3","11","2.9","14","14.5","29","0.2","19","5.4","19.0","1.1","1.3","25","-11.4","22","6.0","7","1.0","14","35.2","31","4","2024"
"CHI","-16.5","23","-9.6","2-2","24","-27.5","30","-6.7","12","4.2","6","-24.8","-10.0","5.1","1.4","23","-16.5","23","-5.5","23","7.9","2","3.8","5","4","2024"
"TEN","-18.1","24","-17.1","1-3","27","-16.7","27","-8.1","11","-9.5","31","-20.3","-11.0","-7.9","1.0","27","-18.1","24","-11.7","31","2.8","8","5.4","8","4","2024"
"NYG","-20.1","25","-23.2","1-3","21","-6.3","23","5.7","21","-8.2","30","-7.7","7.6","-7.8","1.1","26","-20.1","25","1.2","16","7.7","3","8.4","14","4","2024"
"LAR","-21.4","26","-23.9","1-3","25","1.0","16","22.7","31","0.3","17","-1.0","24.0","1.0","1.3","24","-21.4","26","3.4","13","5.3","5","14.2","18","4","2024"
"LV","-22.8","27","-22.0","2-2","31","-13.8","25","10.4","25","1.3","12","-15.4","9.0","2.4","1.0","28","-22.8","27","-5.9","24","0.6","16","6.7","11","4","2024"
"CAR","-24.5","28","-26.2","1-3","29","-15.9","26","9.0","24","0.4","15","-16.9","10.9","1.7","0.2","32","-24.5","28","6.1","6","1.3","12","28.9","27","4","2024"
"NE","-27.4","29","-32.1","1-3","23","-21.6","29","14.0","28","8.2","2","-21.2","19.8","9.0","1.5","22","-27.4","29","11.5","4","-9.2","32","14.7","20","4","2024"
"JAX","-34.1","30","-34.1","0-4","28","-4.2","21","26.3","32","-3.6","25","-7.2","24.4","-2.5","0.8","29","-34.1","30","-11.1","30","-1.4","19","9.6","16","4","2024"
"MIA","-36.9","31","-35.3","1-3","32","-32.2","31","8.1","23","3.4","8","-30.7","9.2","4.6","0.7","30","-36.9","31","-1.5","19","-7.1","29","3.1","2","4","2024"
"CLE","-39.6","32","-31.0","1-3","30","-36.0","32","4.1","20","0.5","14","-31.1","1.4","1.5","0.4","31","-39.6","32","-19.1","32","10.1","1","6.3","9","4","2024"
