"TEAM","TOT DVOA","Rank","NON-ADJ VOA","W-L","LAST WEEK","Off DVOA","Rank","Def DVOA","Rank","ST DVOA","Rank","Off VOA","Def VOA","ST VOA","EST. WINS","Rank","WEI. DVOA","Rank","SCHED","Rank","FUTURE","Rank","VAR","Rank","Week","Year"
"PIT","12.0","10","17.3","6-2","14","-3.6","19","-8.3","11","7.3","3","-1.2","-10.0","8.5","5.0","9","11.8","11","-6.6","27","5.0","7","11.5","19","8","2024"
"GB","17.8","8","11.9","6-2","8","15.8","5","-4.4","12","-2.4","26","14.2","0.5","-1.8","5.9","5","17.8","9","1.2","14","11.9","3","2.2","1","8","2024"
"PHI","9.5","12","7.5","5-2","18","8.5","11","-0.1","13","0.9","13","9.0","2.4","0.9","4.5","11","10.3","12","-3.9","23","-3.6","23","14.5","23","8","2024"
"SEA","5.7","16","1.0","4-4","11","5.0","15","0.6","14","1.3","12","4.6","5.1","1.5","3.8","21","3.1","16","2.6","8","5.3","6","15.9","26","8","2024"
"TB","7.2","15","2.2","4-4","13","11.7","8","2.1","15","-2.4","27","13.4","9.9","-1.3","4.5","12","6.6","15","15.4","1","-11.8","32","14.2","22","8","2024"
"NYG","-17.4","25","-22.8","2-6","24","-8.5","23","2.3","16","-6.6","31","-9.7","6.4","-6.7","2.3","26","-17.1","25","2.4","9","0.0","15","10.0","14","8","2024"
"CLE","-36.4","30","-34.3","2-6","31","-32.6","32","2.5","17","-1.4","23","-27.3","5.8","-1.2","1.3","30","-34.3","30","-2.3","21","7.1","5","13.4","20","8","2024"
"BAL","31.4","2","26.4","5-3","1","36.0","1","2.7","18","-1.9","25","35.5","7.4","-1.7","5.5","6","32.2","2","-0.3","16","2.1","12","13.7","21","8","2024"
"IND","-2.3","20","-1.8","4-4","19","-0.7","17","3.6","19","1.9","10","-1.5","3.1","2.8","3.9","19","-2.7","21","-0.8","17","-0.3","17","5.0","3","8","2024"
"NYJ","-14.4","24","-14.6","2-6","25","-4.1","21","3.8","20","-6.6","30","-6.2","2.1","-6.3","2.6","25","-14.9","24","-1.6","19","-3.4","21","6.2","7","8","2024"
"ATL","8.0","13","4.6","5-3","16","13.4","6","4.6","21","-0.9","19","14.2","9.6","0.1","4.8","10","7.8","14","2.1","10","-5.7","30","6.8","9","8","2024"
"NO","-7.3","22","-7.6","2-6","21","-6.9","22","4.7","22","4.2","5","-6.6","6.3","5.3","2.8","24","-11.2","22","1.2","13","-9.0","31","27.2","32","8","2024"
"LV","-28.9","27","-30.0","2-6","28","-22.1","27","5.8","23","-0.9","20","-24.7","5.7","0.3","1.5","27","-28.5","27","0.9","15","1.2","14","7.4","10","8","2024"
"WAS","16.6","9","20.6","6-2","6","19.3","3","6.2","24","3.5","7","24.4","7.5","3.7","4.4","13","20.0","6","-7.4","29","-5.6","29","23.5","31","8","2024"
"CIN","0.6","18","0.9","3-5","12","8.6","10","7.1","25","-0.9","18","13.4","11.7","-0.8","4.2","16","1.3","18","-6.9","28","-4.1","24","8.9","13","8","2024"
"ARI","-0.5","19","-8.7","4-4","20","7.4","13","7.7","26","-0.2","16","5.2","14.6","0.6","4.2","15","-1.1","19","12.5","2","-4.7","25","17.6","28","8","2024"
"MIA","-32.8","29","-26.2","2-5","29","-22.9","29","9.0","27","-0.9","21","-17.0","9.2","0.1","1.4","28","-33.0","29","-7.6","30","-5.4","28","5.7","4","8","2024"
"LAR","-2.5","21","-9.9","3-4","22","8.5","12","9.7","28","-1.2","22","2.2","11.7","-0.5","3.8","20","-2.5","20","11.9","3","-2.8","20","11.3","18","8","2024"
"DAL","-17.6","26","-17.9","3-4","23","-12.4","26","13.5","29","8.3","2","-11.7","15.5","9.3","3.2","23","-19.1","26","6.7","5","2.4","10","21.7","30","8","2024"
"NE","-41.9","31","-40.7","2-6","30","-24.1","31","17.5","30","-0.3","17","-21.7","19.0","0.0","1.3","29","-44.1","32","-3.7","22","-0.2","16","10.5","17","8","2024"
"CAR","-45.3","32","-42.3","1-7","32","-22.8","28","20.7","31","-1.7","24","-22.5","18.9","-0.9","0.5","32","-43.7","31","1.3","12","1.9","13","16.9","27","8","2024"
"JAX","-12.9","23","-11.3","2-6","26","5.5","14","22.5","32","4.1","6","4.9","21.1","4.9","3.3","22","-11.6","23","-5.9","26","-0.3","18","15.5","24","8","2024"
