"TEAM","TOT DVOA","Rank","NON-ADJ VOA","W-L","LAST WEEK","Off DVOA","Rank","Def DVOA","Rank","ST DVOA","Rank","Off VOA","Def VOA","ST VOA","EST. WINS","Rank","WEI. DVOA","Rank","SCHED","Rank","FUTURE","Rank","VAR","Rank","Week","Year"
"MIN","28.8","3","13.5","5-2","3","4.0","16","-23.1","1","1.6","11","0.0","-11.3","2.2","6.3","3","26.9","5","9.6","4","3.4","9","6.4","8","8","2024"
"HOU","19.0","7","15.8","6-2","7","-3.7","20","-20.0","2","2.7","9","-3.4","-15.6","3.6","5.4","8","19.4","8","2.1","11","-3.6","22","7.7","11","8","2024"
"DET","44.8","1","46.7","6-1","2","16.8","4","-17.2","3","10.8","1","19.5","-15.6","11.7","7.2","1","47.6","1","-1.2","18","11.9","2","10.0","15","8","2024"
"KC","28.1","4","16.2","7-0","4","10.7","9","-16.8","4","0.7","14","12.1","-2.7","1.3","6.3","2","28.2","3","4.5","7","-1.2","19","5.9","6","8","2024"
"DEN","12.0","11","19.4","5-3","10","-8.7","24","-15.1","5","5.6","4","-8.3","-20.1","7.6","4.0","17","14.4","10","-7.9","31","4.1","8","19.5","29","8","2024"
"SF","19.8","6","14.9","4-4","9","12.1","7","-13.7","6","-6.0","29","15.1","-4.9","-5.1","5.5","7","19.7","7","-1.8","20","7.7","4","10.4","16","8","2024"
"BUF","28.1","5","31.1","6-2","5","20.2","2","-12.6","7","-4.7","28","22.9","-12.5","-4.4","6.2","4","27.5","4","-4.3","25","-4.8","26","15.9","25","8","2024"
"LAC","8.0","14","14.0","4-3","15","-2.1","18","-10.1","8","0.0","15","-0.5","-12.9","1.6","4.4","14","8.5","13","-4.3","24","-5.0","27","5.9","5","8","2024"
"TEN","-29.6","28","-40.1","1-6","27","-23.2","30","-8.9","9","-15.3","32","-29.4","-3.4","-14.2","1.2","31","-29.5","28","6.1","6","2.2","11","4.7","2","8","2024"
"CHI","1.5","17","9.7","4-3","17","-9.8","25","-8.4","10","2.9","8","-5.0","-11.4","3.4","4.0","18","2.9","17","-8.1","32","16.6","1","7.8","12","8","2024"
